city,count,latitude,longitude
Mastung,17,29.803965,66.85099
Jessore,17,23.163957,89.213004
Parachinar,16,33.897995,70.107536
Bajaur district,16,34.856902000000005,71.429936
Jurf al-Sakhar district,16,32.902177,44.152694
Opytne,16,48.363186,37.891921999999994
Asadabad,16,34.875656,71.152008
Silvan district,16,38.14274,41.006623
Dawr,16,34.458889,43.791004
Chernukhino,16,48.325562,38.511093
Jowhar,16,2.7772639999999997,45.500640999999995
Dujail,16,33.835629,44.247406
Dawlatabad district,16,36.523095,65.054353
Mastung district,16,29.408737,67.189449
Gora,16,31.078333,34.131668
Bihsud district,16,34.453813000000004,70.484844
Mardan,16,34.200592,72.048439
Bulobarde,15,3.856237,45.57115
Hit district,15,33.641222,42.837057
Dih Yak district,15,33.468564,68.763192
Palmyra,15,34.558525,38.293671
Helwan,15,29.831976,31.337257
Potiskum,15,11.704399,11.088539
Ataq,15,14.536389000000002,46.833056
Hajjaj,15,34.834415,43.515133
Bayda,15,13.985013,45.558479
Hawara,15,32.154514,35.258553000000006
Musayyib,15,32.777344,44.289352
Raqqah,15,35.951523,39.009563
Churachandpur,15,24.340836,93.697562
Zolote,15,48.694492,38.50779
Silopi district,15,37.247632,42.471271
Chaparhar district,15,34.328977,70.40748599999999
Balad Ruz,14,33.693946999999994,45.067425
Sulayman Beg,14,34.790665000000004,44.662151
Bannang Sata,14,6.260623000000001,101.253677
Bogota,14,4.667128,-74.10605600000001
Ain al-Hilweh,14,33.542004,35.381153000000005
Krymske,14,48.750614,38.787846
Nairobi,14,-1.2648700000000002,36.850277
Nusaybin district,14,37.090393,41.211633
Trekhizbenka,14,48.755672,38.968559
Sdot Negev regional council,14,31.417321,34.544657
Poblacion,14,9.1584,123.4996
Madurai,14,9.919267,78.132699
Machh,14,29.855375,67.339928
Ashdod,14,31.821444,34.665169
Strabane,14,54.819164,-7.467909
Rutbah,14,33.036021999999996,40.288158
New York City,14,40.697132,-73.931351
Kramatorsk,14,48.730804,37.574596
Safi,14,34.533889,71.27
Chapa Dara district,13,34.920176,70.764424
Sariab,13,30.084515000000003,66.983437
Kanker district,13,20.227824,81.31178100000001
Rutbah district,13,33.036390000000004,40.283332
Hoshab,13,26.008619,63.891228000000005
Kurram district,13,33.712961,70.350617
Rueso district,13,6.357409,101.504671
Wadh,13,27.342552,66.36792
Dibis,13,35.672932,44.070145000000004
Tanyong Mat,13,6.310128,101.71271899999999
Mand,13,26.115631,62.037643
Dali,13,13.702663000000001,44.73357
Nushki,13,29.552311,66.02050799999999
Rajbiraj,13,26.542321,86.7571
Alingar district,13,34.800272,70.372528
South Waziristan district,13,32.523346999999994,69.42949899999999
Tal Afar,13,36.376823,42.448875
Zagazig,13,30.589159000000002,31.503929
Qatn,13,15.840202,48.45438
Muqdadiyah district,13,33.904087,44.852064
Tubruq,13,32.073238,23.944855
Charsadda,13,34.14658,71.743538
San Isidro,13,12.951400999999999,123.88083700000001
Sinjar,13,36.319386,41.861473
Barawe,13,1.114228,44.028706
Nablus,13,32.222271,35.253506
Sungai Padi district,13,6.166706,101.911987
Pulwama,13,33.874027000000005,74.901505
Kabkabiya,13,13.647672,24.096332999999998
Bethlehem,13,31.704338,35.194355
Nong Chik district,12,6.801556,101.151217
Sirnak,12,37.524148,42.454371
Tank district,12,32.246185,70.356397
Thung Yang Daeng district,12,6.634973,101.44797
Yarang district,12,6.693592,101.309685
Isabela City,12,6.700414,121.97255700000001
Zawiya,12,32.755736999999996,12.723051
